wp_ID,wp_post_date,wp_post_modified,wp_post_status,wp_post_title,wp_post_content,wp_post_excerpt,wp_post_parent,wp_post_name,wp_post_type,wp_post_mime_type,wp_ping_status,wp_comment_status,wp_menu_order,wp_post_author,tx_category,tx_post_tag,tx_post_format,fi_thumbnail,cf__wp_page_template,cf__edit_last,cf__edit_lock,cf__soliloquy_settings,cf_wpcf-street-address,cf_wpcf-city,cf_wpcf-state,cf_wpcf-zipcode,cf_wpcf-phone-number,cf__menu_item_menu_item_parent,cf__menu_item_type,cf__menu_item_object,cf__menu_item_object_id,cf__menu_item_target,cf__menu_item_classes,cf__menu_item_xfn,cf__menu_item_url,cf__thumbnail_id,cf__wp_attachment_metadata,cf__wp_attached_file,cf__form,cf__mail,cf__mail_2,cf__messages,cf__additional_settings,cf__wp_types_group_filters_association,cf__wp_types_group_fields,cf__wp_types_group_post_types,cf__wp_types_group_terms,cf__wp_types_group_templates,cf__wpcf_conditional_display,cf_wpcf-contact-email,cf_wpcf-website,cf__wp_old_slug,cf__soliloquy_image_link,cf__soliloquy_image_link_title,cf__soliloquy_image_link_tab,cf_wpcf-country,cf_wpcf-region,cf__wp_attachment_image_alt,cf_wpcf-post-link-url,cf__wp_types_group_admin_styles,cf__sol_slider_data,cf__sol_in_slider,cf__sol_has_slider,cf_wpcf-hide-title-overlay,cf_link,cf__menu_item_orphaned
45,"2013-04-22 15:57:57","2013-04-22 15:57:57",publish,"All Star Baseball and Softball",,,0,all-star-baseball-and-softball,dealer,,open,open,0,admin,,,,,,,,,"135 Huddleston Road",Peachtree,GA,30269,770-631-3303,,,,,,,,,,,,,,,,,,,,,,,jpow1@bellsouth.net,www.virtualcages.com,,,,,,,,,,,,,,,
123,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Properformance Institute",,,0,properformance-institute,dealer,,open,open,0,admin,,,,,,,1366672115:1,,"2008 NE 23rd Street","Grain Valley",MO,64029,816-716-6864,,,,,,,,,,,,,,,,,,,,,,,rbarker@properformanceinstitute.com,www.properformanceinstitute.com,,,,,,,,,,,,,,,
122,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Pro-Day Baseball",,,0,pro-day-baseball,dealer,,open,open,0,admin,,,,,,,,,,,,,888-224-6150,,,,,,,,,,,,,,,,,,,,,,,prodaybaseball@yahoo.com,www.shop.pro-daybaseball.com,,,,,,,,,,,,,,,
118,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Players Paradise",,,0,players-paradise,dealer,,open,open,0,admin,,,,,,,,,"9628 E. 350 Highway",Raytown,MO,64133,816-886-6792,,,,,,,,,,,,,,,,,,,,,,,michael@playersparadisekc.com,www.playersparadisekc.com,,,,,,,,,,,,,,,
116,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Play It Again Sports",,,0,play-it-again-sports-4,dealer,,open,open,0,admin,,,,,,,,,"8923 S. Meridian Street",Indianapolis,IN,46237,317-859-8080,,,,,,,,,,,,,,,,,,,,,,,mselaine32@netscape.net,www.playitagainsportsindy.com,,,,,,,,,,,,,,,
114,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Play It Again Sports",,,0,play-it-again-sports-2,dealer,,open,open,0,admin,,,,,,,,,"3527 S. Main Street",Elkhart,IN,46517,574-293-2462,,,,,,,,,,,,,,,,,,,,,,,pias.elkhart@gmail.com,,,,,,,,,,,,,,,,
113,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Play It Again Sports",,,0,play-it-again-sports,dealer,,open,open,0,admin,,,,,,,,,"209 Towne Drive",Elizabethtown,KY,40162,270-982-7529,,,,,,,,,,,,,,,,,,,,,,,lwisls@msn.com,www.playitagainsportshardincounty.com,,,,,,,,,,,,,,,
112,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Peak Performance Sports Zone",,,0,peak-performance-sports-zone,dealer,,open,open,0,admin,,,,,,,,,"11495 S. Cleavland Avenue","Fort Meyers",FL,33907,239-362-1819,,,,,,,,,,,,,,,,,,,,,,,info@peakperformancesportszone.com,www.peakperformancesportszone.com,,,,,,,,,,,,,,,
111,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Oregon City Sporting Goods",,,0,oregon-city-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"1010 Main Street","Oregon City",OR,97045,503-656-3341,,,,,,,,,,,,,,,,,,,,,,,kurt@ocsports.us,,,,,,,,,,,,,,,,
108,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"OB Team Sports",,,0,ob-team-sports,dealer,,open,open,0,admin,,,,,,,,,"809 State Route 125",Hamersville,OH,45130,877-379-9051,,,,,,,,,,,,,,,,,,,,,,,byrono@obteamsports.com,,,,,,,,,,,,,,,,
