id,name,street,city,region,postal code,phone,email,website,zone,country
45,All Star Baseball and Softball,135 Huddleston Road,Peachtree,GA,30269,770-631-3303,jpow1@bellsouth.net,www.virtualcages.com,USA,USA
123,Properformance Institute,2008 NE 23rd Street,Grain Valley,MO,64029,816-716-6864,rbarker@properformanceinstitute.com,www.properformanceinstitute.com,USA,USA
122,Pro-Day Baseball,,,,,888-224-6150,prodaybaseball@yahoo.com,www.shop.pro-daybaseball.com,USA,USA
118,Players Paradise,9628 E. 350 Highway,Raytown,MO,64133,816-886-6792,michael@playersparadisekc.com,www.playersparadisekc.com,USA,USA
116,Play It Again Sports,8923 S. Meridian Street,Indianapolis,IN,46237,317-859-8080,mselaine32@netscape.net,www.playitagainsportsindy.com,USA,USA
114,Play It Again Sports,3527 S. Main Street,Elkhart,IN,46517,574-293-2462,pias.elkhart@gmail.com,,USA,USA
113,Play It Again Sports,209 Towne Drive,Elizabethtown,KY,40162,270-982-7529,lwisls@msn.com,www.playitagainsportshardincounty.com,USA,USA
112,Peak Performance Sports Zone,11495 S. Cleavland Avenue,Fort Meyers,FL,33907,239-362-1819,info@peakperformancesportszone.com,www.peakperformancesportszone.com,USA,USA
111,Oregon City Sporting Goods,1010 Main Street,Oregon City,OR,97045,503-656-3341,kurt@ocsports.us,,USA,USA
108,OB Team Sports,809 State Route 125,Hamersville,OH,45130,877-379-9051,byrono@obteamsports.com,,USA,USA
105,Mordecai Sporting Goods,809 Main Street Suite 101,Gardendale,AL,35071,205-631-4172,mspts@aol.com,,USA,USA
101,MAC Sporting Goods,400 N. Eastern Boulevard,Montgomery,AL,36117,334-277-4963,,,USA,USA
100,Luv-2-Par Sporting Goods,649 Corporate Drive Suite C,Houma,LA,70360,985-262-4728,,,USA,USA
95,Line Drive Indoor Baseball,3125 Jupiter Park Circle Suite 1,Jupiter,FL,33458,561-283-6614,linedrivebt@yahoo.com,www.linedriveindoorbaseball.com,USA,USA
93,Just Softball,925 Eucalyptus Drive,El Segundo,CA,90245,310-466-0324,deb@just-softball.com,www.just-softball.com,USA,USA
91,JC Sports,1134 Cotton Gin Drive,Woodstock,GA,30188,,coachcrane@hotmail.com,,USA,USA
90,Home Run Park,711 S. Beach Boulevard,Anaheim,CA,92804,714-229-8850,mikehrp@gmail.com,www.homerunpark.com,USA,USA
88,Hibbett Sporting Goods,,,,,,,www.hibbett.com,USA,USA
86,Good Sports,124 Robin Road #1500,Altamonte Springs,FL,32701,407-260-1609,dale@goodsports.biz,www.goodsports.biz,USA,USA
85,Golf Plus,5601 E. Virginia,Evansville,IN,47715,812-477-7529,golfplusevv@aol.com,www.golfplusstores.com,USA,USA
82,Family Baseball,514 10th Street,Henderson,KY,42420,270-826-4300,lwisls@msn.com,,USA,USA
81,Elite Sporting Goods,1854 Thomasville Road,Tallahassee ,FL,32303,850-385-2255,kipwest@yahoo.com,,USA,USA
79,East Gadsen Sporting Goods,110 College Plaza,Gadsen,AL,35403,256-546-0043,egadsensporting@comcast.net,,USA,USA
77,Dream Bat Company,64 Field Road Unit 4F,Somers,CT,6071,860-335-7196,kevin_mayo@dreambats.com,www.dreambats.com,USA,USA
76,Double Diamond Sports,602 Sloop Street,Kannapolis,NC,28083,704-933-4111,doublediamond@carolinarr.com,www.doublediamontsports.com,USA,USA
73,Dalton Sports,3106 E Walnut Avenue,Dalton,GA,30721,706-226-1604,,,USA,USA
66,Coaches Corner Sporting Goods,750 Oak Street,Terre Haute,IN,47807,812-232-2290,coachescornersq@gmail.com,www.coachescornersportinggoods.com,USA,USA
64,Cherokee Batting Range,711 Bascomb Commercial Parkway,Woodstock,GA,30189,770-591-4778,,www.cherokeebatting.com,USA,USA
63,Cheapbats.com,711 S. Beach Boulevard,Anaheim,CA,92804,800-589-4487,mike@cheapbats.com,www.cheapbats.com,USA,USA
61,Bullpen Sports,1096 N. Center Road,Burton,MI,48509,810-742-8820,bullpensportsgear@yahoo.com,www.bullpensportsgear.com,USA,USA
59,Bownet,4690 Calle Quetzal,Camarillo,CA,93012,805-310-1650,creamerfmly@aol.com,www.bownet.net,USA,USA
58,Bob's Sports Store,2145 S. Main Street,Waynesville,NC,28786,828-456-5843,,,USA,USA
56,Better Baseball,132 Carruth Drive,Marietta,GA,30060,800-997-4233,aga@betterbaseball.com,www.betterbaseball.com,USA,USA
55,Beast Mode Academy,,Houston,TX,,713-305-1387,mxsoliz@aol.com,,USA,USA
54,Baum's Sporting Goods,937 E. Broadway,Tempe,AZ,85282,480-929-9600,,,USA,USA
53,Baum's Sporting Goods,6460 N. Oracle Road,Tucson,AZ,85704,520-797-7779,info@baumssportinggoods.com,,USA,USA
52,Baum's Sporting Goods,2845 E. Speedway Boulevard,Tucson,AZ,85716,520-881-1100,anthony@baumssportinggoods.com,www.baumssportinggoods.com,USA,USA
50,Bartley's Sporting Goods,2555 Cleavland Ave,Fort Meyers,FL,33901,239-334-0441,info@bartleysports.com,www.bartleysports.com,USA,USA
49,Barcelona Sporting Goods,10405 Katy Freeway Suite C,Houston,TX,77024,713-464-8313,,,USA,USA
48,Barcelona Sporting Goods,9999 W. Sam Houston Parkway N.,Houston,TX,77064,713.464.8313,diana@barcelonasports.com,www.barcelonasports.com,USA,USA
47,Athletic Center,801 Linton Way,Princeton,KY,42445,270-365-2500,lwisls@msn.com,,USA,USA
144,Varsity Sports,134 N. Broad Street,Griffith,IN,46319,219-924-5110,lwisls@msn.com,,USA,USA
143,Trophy Sports Center,26 Kinsey Road,Xenia,OH,45385,937-376-2311,trophysports@aol.com,www.trophysportscenter.com,USA,USA
138,SWAT Nation Softball Academy,,,,,856-981-3153,ken.esser@verizon.net,,USA,USA
137,Superstar Team Sports,3169 Forest Hill Boulevard,West Palm Beach ,FL,33406,561-969-7400,superstarsportswpb@bellsouth.net,www.superstarteamsports.com,USA,USA
136,Super Sports,5310 Old Montgomery Highway,Tuscaloosa,AL,35405,205-758-9555,supersportsinc@aol.com,,USA,USA
132,Sports Cellar,1018 Asheville Highway,Hendersonville,NC,28791,828-693-3211,sportscellar@bellsouth.net,,USA,USA
130,SPC Sports Inc.,9431 Mentor Avenue,Mentor,OH,44060,440-625-1266,jesse@spcsports.com,www.spcsports.com,USA,USA
129,SP Hitting Zone,33925 Johnson Drive,Sioux City,IA,51108,712-899-0472,sphittingzone@yahoo.com,,USA,USA
128,Softball Our Game,3519 Wedgewood Lane,The Villages,FL,32162,352-751-4007,,www.softballrgame.com,USA,USA
127,Roy Kuhl Sports,3436 Winfield Road,Winfield,WV,25213,304-586-4778,roykuhlsports@gmail.com,www.roykuhlsports.com,USA,USA
126,Romeo's Sporting Goods,5520 Crestwood Boulevard,Birmingham,AL,35212,205-591-7145,romeosports@aol.com,www.romeossportinggoods.com,USA,USA
131,BaseballJunk.com,2023 S. Cooper Street,Arlington,TX,76010,817-303-6620,sportjunk@gmail.com,,USA,USA
256,D-BAT San Antonio North,2250 Chipley Circle,San Antonio,TX,78217,(210) 826-3228 (DBAT),,,USA,USA
267,Academy Sports,5370 South Riley Lane,Murray,UT,84107,801-713-0581,,http://www.academysportsutah.com/,USA,USA
295,Coaches Corner Sporting Goods,,,AL,,,,,USA,USA
312,Denton Athletics,908 W. University Drive,Denton,TX,76201,940-320-5500,,http://www.dentonathletics.net,USA,USA
313,Diamond Sports,13712 24th Street E,Sumner,WA,98390,253-987-5082,,http://www.diamondsportstrainingcenter.com,USA,USA
314,Dick's Sporting Goods,,,AL,,877-846-9997,,http://www.dickssportingoods.com,USA,USA
317,Dugout Sports,26302 I-45 North,Spring,TX,77386,281-367-4076,,http://www.dugoutsports.com,USA,USA
318,Dumont Sporting Goods,1003 McKinley Avenue,Canton,OH,44713,330-455-5267,,,USA,USA
322,Family Sports,514 10th Street,Henderson,KY,42420,270-826-4300,,,USA,USA
323,Frozen Ropes,55 Bay Hill Road,Lakewood,NJ,8701,973-202-3931,,http://www.frozenropes.com,USA,USA
324,Gable Sporting Goods,6250 Fairburn Road,Douglasville,GA,30134,770-942-5397,,http://www.gablesportsga.com,USA,USA
327,Grin and Wear It,108 N. Keswick Avenue,Glenside,PA,19038,215-292-2495,,http://www.grinandwearit.net,USA,USA
328,Hibbett Sporting Goods,,,AL,,,,http://www.hibbett.com,USA,USA
