name,city,phone,postal code,street,region,website,email,country,zone
Pedal & Pump,Darien,(203) 655-2600,6820,51 Tokeneke Road,CT,,,USA,USA
Berlin Bicycle & Repair Shop,East Berlin,(860) 828-1132,6023,855 Mill Street,CT,,,USA,USA
Bikes & Moore,Hopkinsville,(270) 885-0613,42240,200 Sivley Road,KY,,,USA,USA
Xtreme Bike & Sport,Independence,(620) 331-7777,67301,204 N Penn Ave,KS,,,USA,USA
M & M Cyclery,Mundelein,(847) 362-2451,60060,734 South Butterfield Road,IL,,,USA,USA
Tree Fort Bike & Board,Ypsilanti Township,(734) 484-9999,48197,1866 Whittaker Road,MI,,,USA,USA
American Cycle & Fitness,Grosse Pte Woods,(313) 879-5639,48236,20343 Mack Avenue,MI,,,USA,USA
KLM Bike & Fitness,Rochester Hills,(248) 299-0456,48307,2680 South Rochester Road,MI,,,USA,USA
Now Bikes & Fitnes,Arden Hills,(651) 490-7709,55126,3673 Lexington Avenue North,MN,,,USA,USA
Summit Bike & Ski,Bozeman,(406) 587-1064,59715,26 South Grand Avenue,MT,,,USA,USA
Ride Brooklyn Bike & Board,Brooklyn,(718) 857-5283,11217,229 Flatbush Avenue,NY,,,USA,USA
Sleepy Hollow Bicycle & Sport,Tarrytown,(914) 631-3135,10591,95 Beekman Avenue,NY,,,USA,USA
R&A Cycles,Brooklyn,(718) 636-5242,11217,105 5th Avenue,NY,,,USA,USA
Piche's Ski & Sport Shop,Gilford,(603) 524-2068,3249,318 Gilford Ave,NE,,,USA,USA
S&W Sports,Concord,(603) 228-1441,3301,296 South Main Street,NE,,,USA,USA
Revolution Cyclery & Sport Shop,Concord,(603) 224-8600,3301,24 Pleasant St,NE,,,USA,USA
Kearney Cycling & Fitness,Kearney,(308) 234-3822,68847,2216 Central Avenue,NE,,,USA,USA
Saturday Bike & Run,Rock Hill,(803) 329-2453,29730,153 East White Street,SC,,,USA,USA
Center For Cycling & Fitness,Columbia,(803) 256-0557,29205,1001 Harden Street,SC,,,USA,USA
Country Ski & Sports,Montoursville,(570) 368-1718,17754,836 Broad Street,PA,,,USA,USA
Murfreesboro Outdoor & Bicycle,Murfreesboro,(615) 893-7725,37130,310 North Maple Street,TN,,,USA,USA
Tailwind Cycles & Multisport,Fort Mill,(803) 554-4730,29708,1646 Hwy 160 W Suite 104-D,SC,,,USA,USA
Wheeler & Rathke,Portland,(503) 231-4888,97214,2005 SE 8th Ave,OR,,,USA,USA
Cycle Sport & Tri,Loveland,(513) 683-0550,45140,10657 Loveland Madeira Rd.,OH,,,USA,USA
Fat Frogs Bike & Fitness,Virginia Beach,(757) 427-9488,23456,"Suite 232, 1169 Nimmo Parkway",VA,,,USA,USA
Plano Cycling & Fitness,Plano,(972) 423-4130,75074,605 18th Street,TX,,,USA,USA
Wheel & Sprocket,Delafield,(262) 646-6300,53018,528 Wells Street,WI,,,USA,USA
Extreme Ski & Bike,Thiensville,(262) 242-1442,53092,235 North Main Street,WI,,,USA,USA
Art Doyle's Spokes & Pedals Bicycle Shop,Hudson,(715) 386-8500,54016,607 2nd Street,WI,,,USA,USA
Wheel & Sprocket,Hales Corners,(414) 529-6600,53130,5722 South 108th Street,WI,,,USA,USA
Williamson Bicycle Works & Fitness,Madison,(608) 255-5292,53703,640 W Washington Ave,WI,,,USA,USA
SLC Bicycle Co,Salt Lake City,(801) 746-8366,84111,177 East 200 South,UT,,,USA,USA
Rock On Wheels,Cheyenne,,82001,900 East Lincoln Way,WY,,,USA,USA
Altitude Cycle,Vernal,(435) 781-2595,84078,580 East Main Street,UT,,,USA,USA
Sedona Bike And Bean,Sedona,(928) 284-0210,86351,6020 Arizona 179,AZ,,,USA,USA
Madison Cycles Inc.,Madison,(256) 461-9963,35758,8760 Madison Blvd # U,AL,,,USA,USA
Cahaba Cycles,Vestavia Hills,(205) 967-2003,35243,3179 Cahaba Heights Road # 101,AL,,,USA,USA
Bob's Bikes Inc,Birmingham,(205) 879-2258,35209,1944 28th Ave S,AL,,,USA,USA
Chainwheel Inc.,Little Rock,(501) 224-7651,72227,10300 N Rodney Parham Rd  Little Rock,AR,,,USA,USA
Competitive Cyclist,North Little Rock,(501) 663-8796,72118,5050 Northshore Lane,AR,,,USA,USA
Parkside Cycle,Hot Springs,(501) 623-6188,71901,719 Whittington Avenue,AR,,,USA,USA
Fairwheel Bicycles,Tucson,(520) 884-9018,85719,1110 East 6th Street,AZ,,,USA,USA
DNA Cycles,Mesa,(480) 924-2453,85215,2031 N. Power Rd. Suite 101,AZ,,,USA,USA
Cahaba Cycles,Pelham,(205) 987-4043,35124,2271 Pelham Parkway,AL,,,USA,USA
Hurricane Creek Park,Vinemont,(256) 734-2125,35179,22600 Highway 31 North,AL,,,USA,USA
EPIC BIKING,Saratoga Springs,(801) 653-2039,84045,1306 N Redwood Rd,UT,,,USA,USA
Revolution Bicycles,Sandy,(801) 233-1400,84070,8714 South 700 East,UT,,,USA,USA
