name,city,phone,postal code,street,region,website,email,country,zone,distributor
Cyctec Distribution,,'+27 82 745 4582,,,,www.cyctecdistribution.com,,South Africa,Africa,1
MotoCross International,,011 81-52-773-0256,,,,,info@motocrossinternational.com,Japan,Asia,1
Chung Yung,,011 852-2670-3639,,,,www.hkbicycle.com,support@hkbicycle.com,Hong Kong,Asia,1
Futaba,,81-52-504-8345,,,,www.e-ftb.co.jp/,Zac_r@e-ftb.co.jp,Japan,Asia,1
A Very Good Leisure Co. Ltd,,011 82-2-2194-3075,,,,www.cellosports.com,choj21@cellosports.com,South Korea,Asia,1
"Juvin. Ent. Co., Ltd",,011 886-4-788-3728,,,,,juvin.ent@msa.hinet.net,Taiwan,Asia,1
Sepeda Kita,,62-21-3301 3338,,,,www.sepedakita.com,sepedakita@yahoo.com,Indonesia,Asia,1
Pro Cycle Co.,,(66) 2 683 1778,,,,,info@procycle.co.th,Thailand,Asia,1
Ensign Sports,,91 9619 769 199,,,,,ensignsports@gmail.com,India,Asia,1
ENTRO INTERNATIONAL PTE LTD,,'+65 6749 4060,,,,www.entro.com.sg,,Singapore,Asia,1
Huan Schen SDN BH,,'+603-6038 6788,,,,http://www.huanschen.com.my,,Malaysia,Asia,1
DaDa Sports,,(02) 832.2352,,,,,erich.dadasports@gmail.com,Philippines,Asia,1
Now Company,,011 32-10-23-0180,,,,www.nowcompany.com,info@nowcompany.com,Luxembourg,Europe,1
Tarmin Oy,,011 358-40-567-9009,,,,www.tarmin-mtb.com,tarmo@tarmin-mtb.com,Finland,Europe,1
Now Company,,011 32-10-23-0180,,,,www.nowcompany.com,info@nowcompany.com,France,Europe,1
Cosmic,,011 49-911-310-755-10,,,,www.cosmicsports.de,info@cosmicsports.de,Germany,Europe,1
ActiveZone,,011 30-210-961-2929,,,,www.activezone.gr,info@activezone.gr,Greece,Europe,1
World of Bike,,011 30-210-748-8692,,,,www.worldofbike.gr,info@worldofbike.gr,Greece,Europe,1
Italy DSB s.r.l.,,011 39-035-482-4273,,,,www.dsb-bonandrini.com,info@dsb_bonandrini.com,Italy,Europe,1
Faktori ApS,,45 3155 2444,,,,www.faktori.dk,info@faktori.dk,Denmark,Europe,1
Bike Zone,,011 420-733-531-717,,,,www.bikezon.cz,info@bikezon.cz,Czech Republic,Europe,1
Protea Jaska d.o.o.,,011 627-2908,,,,www.proteajaska.com,info@proteajaska.com,Croatia,Europe,1
Niko Bike Shop,,011 359-878-901-822,,,,www.niko-bikes.com,info@niko-bikes.com,Bulgaria,Europe,1
Factory Store d.o.o.,,011 386-3-710-36-86,,,,www.factorystore.si,info@factorystore.si,Boznia,Europe,1
Now Company,,011 32-10-23-0180,,,,www.nowcompany.com,info@nowcompany.com,Belgium,Europe,1
Factory Store d.o.o.,,011 386-3-710-36-86,,,,www.factorystore.si,info@factorystore.si,Macedonia,Europe,1
Velokiev Group ,,011 38-050-195-6056,,,,www.velokiev.com,nitro@velokiev.com,Ukraine,Europe,1
2Pure,,011 44-844-811-2001,,,,www.2pure.co.uk,info@2pure.co.uk,UK,Europe,1
Velok AG,,011 4144-838-6050,,,,www.velok.ch,info@velok.ch,Switzerland,Europe,1
Deler,,011 47-64-98-99-54,,,,www.deler.no,post@deler.no,Norway,Europe,1
Gresvig AS,,011 47-69-81-65-00,,,,www.gresvig.no,post@gresvig.no,Norway,Europe,1
Team Bike,,011 34-96-568-3534,,,,,teambike@teambike.es,Portugal,Europe,1
Anto LTD ,,011 49-2241-493-00-13,,,,,anton1976@gmail.com,Russia,Europe,1
Factory Store d.o.o,,011 386-3-710-36-86,,,,www.factorystore.si,info@factorystore.si,Slovenia,Europe,1
Team Bike,,011 34-96-568-3534,,,,,teambike@teambike.es,Spain,Europe,1
Duells,,011 46-31-727-6300,,,,www.duells.se,info@duells.se,Sweden,Europe,1
Factory Store d.o.o.,,011 386-3-710-36-86,,,,www.factorystore.si,info@factorystore.si,Serbia,Europe,1
retra sport Handelsges.m.b.H.,,0043 4352 52021,,,,www.retrasport.at,birgit.traussnig@retrasport.at,Austria,Europe,1
Tehava International,,'+31-46-4752100,,,,www.tehava.com,purchase@tehava.com,Netherlands,Europe,1
AMP Bike,,011 48-34-3430-454,,,,www.amppolska.pl,serwis@ampbike.phl,Poland,Europe,1
BAP,,'+361 67408950,,,,www.bap.lv,info@bap.lv,Latvia,Europe,1
